datum,zaehlstelle,uhrzeit_start,uhrzeit_ende,richtung_1,richtung_2,gesamt,min.temp,max.temp,niederschlag,bewoelkung,sonnenstunden,kommentar
2008-06-01,Arnulf,00:00,23:59,645.0,22.0,667.0,12.5,26.7,0.0,30,13.9,
2008-06-01,Kreuther,00:00,23:59,,,,12.5,26.7,0.0,30,13.9,Zählstelle noch nicht in Betrieb
2008-06-01,Olympia,00:00,23:59,,,,12.5,26.7,0.0,30,13.9,Zählstelle noch nicht in Betrieb
2008-06-01,Hirsch,00:00,23:59,,,,12.5,26.7,0.0,30,13.9,Zählstelle noch nicht in Betrieb
2008-06-02,Arnulf,00:00,23:59,1070.0,47.0,1117.0,15.0,27.9,0.6,44,12.1,
2008-06-02,Kreuther,00:00,23:59,,,,15.0,27.9,0.6,44,12.1,Zählstelle noch nicht in Betrieb
2008-06-02,Hirsch,00:00,23:59,,,,15.0,27.9,0.6,44,12.1,Zählstelle noch nicht in Betrieb
2008-06-02,Olympia,00:00,23:59,,,,15.0,27.9,0.6,44,12.1,Zählstelle noch nicht in Betrieb
2008-06-03,Olympia,00:00,23:59,,,,14.6,21.9,0.2,88,3.2,Zählstelle noch nicht in Betrieb
2008-06-03,Kreuther,00:00,23:59,,,,14.6,21.9,0.2,88,3.2,Zählstelle noch nicht in Betrieb
2008-06-03,Hirsch,00:00,23:59,,,,14.6,21.9,0.2,88,3.2,Zählstelle noch nicht in Betrieb
2008-06-03,Arnulf,00:00,23:59,1240.0,39.0,1279.0,14.6,21.9,0.2,88,3.2,
2008-06-04,Kreuther,00:00,23:59,,,,14.8,21.9,5.1,91,1.4,Zählstelle noch nicht in Betrieb
2008-06-04,Hirsch,00:00,23:59,,,,14.8,21.9,5.1,91,1.4,Zählstelle noch nicht in Betrieb
2008-06-04,Arnulf,00:00,23:59,715.0,43.0,758.0,14.8,21.9,5.1,91,1.4,
2008-06-04,Olympia,00:00,23:59,,,,14.8,21.9,5.1,91,1.4,Zählstelle noch nicht in Betrieb
2008-06-05,Kreuther,00:00,23:59,,,,14.0,20.4,14.2,91,0.6,Zählstelle noch nicht in Betrieb
2008-06-05,Olympia,00:00,23:59,,,,14.0,20.4,14.2,91,0.6,Zählstelle noch nicht in Betrieb
2008-06-05,Arnulf,00:00,23:59,569.0,37.0,606.0,14.0,20.4,14.2,91,0.6,
2008-06-05,Hirsch,00:00,23:59,,,,14.0,20.4,14.2,91,0.6,Zählstelle noch nicht in Betrieb
2008-06-06,Olympia,00:00,23:59,,,,13.6,19.9,10.0,81,1.7,Zählstelle noch nicht in Betrieb
